iter	Passed	Remaining
0	1	328
1	2	293
2	4	281
3	5	278
4	7	278
5	8	271
6	9	265
7	10	263
8	12	263
9	13	261
10	15	260
11	16	260
12	17	258
13	19	259
14	20	257
15	22	256
16	23	255
17	25	254
18	26	253
19	28	252
20	29	250
21	30	248
22	32	247
23	33	246
24	34	244
25	36	243
26	37	241
27	39	240
28	40	239
29	41	237
30	43	235
31	44	234
32	46	233
33	47	231
34	48	229
35	50	228
36	51	227
37	53	225
38	54	224
39	55	223
40	57	221
41	58	220
42	60	219
43	61	218
44	62	216
45	64	215
46	65	214
47	67	212
48	68	210
49	69	209
50	71	208
51	72	206
52	74	205
53	75	203
54	76	202
55	77	200
56	79	198
57	80	196
58	81	194
59	82	193
60	84	191
61	85	189
62	86	188
63	87	186
64	88	184
65	90	183
66	91	182
67	93	181
68	94	179
69	95	177
70	96	176
71	98	174
72	99	173
73	100	171
74	101	169
75	103	168
76	104	166
77	105	165
78	106	163
79	107	161
80	109	160
81	110	158
82	111	157
83	112	155
84	113	153
85	114	152
86	116	150
87	117	150
88	119	148
89	120	147
90	121	145
91	122	144
92	124	142
93	125	141
94	126	139
95	127	138
96	128	136
97	129	135
98	131	133
99	132	132
100	133	130
101	134	129
102	135	128
103	137	126
104	138	125
105	139	123
106	140	122
107	141	120
108	142	119
109	144	117
110	145	116
111	146	115
112	147	113
113	148	112
114	150	110
115	151	109
116	152	108
117	153	106
118	154	105
119	155	103
120	157	102
121	158	101
122	159	99
123	160	98
124	161	97
125	163	95
126	164	94
127	165	93
128	166	91
129	167	90
130	169	89
131	170	87
132	171	86
133	172	85
134	173	83
135	174	82
136	176	81
137	177	79
138	178	78
139	179	77
140	181	75
141	182	74
142	183	73
143	184	71
144	185	70
145	187	69
146	188	67
147	189	66
148	190	65
149	192	64
150	193	62
151	194	61
152	195	60
153	197	58
154	198	57
155	199	56
156	200	54
157	201	53
158	202	52
159	204	51
160	205	49
161	206	48
162	207	47
163	208	45
164	210	44
165	211	43
166	212	41
167	213	40
168	214	39
169	216	38
170	217	36
171	218	35
172	219	34
173	221	33
174	222	31
175	223	30
176	224	29
177	225	27
178	227	26
179	228	25
180	229	24
181	230	22
182	231	21
183	232	20
184	234	18
185	235	17
186	236	16
187	237	15
188	238	13
189	239	12
190	241	11
191	242	10
192	243	8
193	244	7
194	245	6
195	247	5
196	248	3
197	249	2
198	250	1
199	251	0
