date,equity
2022-01-03,1000000.00
2022-01-04,1000000.00
2022-01-05,1000000.00
2022-01-06,1000000.00
2022-01-10,1000000.00
2022-01-11,1000000.00
2022-01-12,1000000.00
2022-01-13,1000000.00
2022-01-14,1000000.00
2022-01-17,1000000.00
2022-01-18,1000000.00
2022-01-19,1000000.00
2022-01-20,1000000.00
2022-01-21,1000000.00
2022-01-24,1000000.00
2022-01-25,1000000.00
2022-01-26,1000000.00
2022-01-27,1000000.00
2022-01-28,1000000.00
2022-01-31,1000000.00
2022-02-01,1000000.00
2022-02-02,1000000.00
2022-02-03,1000000.00
2022-02-04,1000000.00
2022-02-07,1000000.00
2022-02-08,1000000.00
2022-02-09,1000000.00
2022-02-10,1000000.00
2022-02-11,1000000.00
2022-02-14,1000000.00
2022-02-15,1000000.00
2022-02-16,1000000.00
2022-02-17,1000000.00
2022-02-18,1000000.00
2022-02-21,1000000.00
2022-02-22,1000000.00
2022-02-24,1000000.00
2022-02-25,1000000.00
2022-03-24,1000000.00
2022-03-25,1000000.00
2022-03-28,1000000.00
2022-03-29,1000000.00
2022-03-30,1000000.00
2022-03-31,1000000.00
2022-04-01,1000000.00
2022-04-04,1000000.00
2022-04-05,1000000.00
2022-04-06,1000000.00
2022-04-07,1000000.00
2022-04-08,1000000.00
2022-04-11,1000000.00
2022-04-12,1000000.00
2022-04-13,1000000.00
2022-04-14,1000000.00
2022-04-15,1000000.00
2022-04-18,1000000.00
2022-04-19,1000000.00
2022-04-20,1000000.00
2022-04-21,1000000.00
2022-04-22,1000000.00
2022-04-25,1000000.00
2022-04-26,1000000.00
2022-04-27,1000000.00
2022-04-28,1000000.00
2022-04-29,1000000.00
2022-05-04,1000000.00
2022-05-05,1000000.00
2022-05-06,1000000.00
2022-05-11,1000000.00
2022-05-12,1000000.00
2022-05-13,1000000.00
2022-05-16,1000000.00
2022-05-17,1000000.00
2022-05-18,1000000.00
2022-05-19,1000000.00
2022-05-20,1000000.00
2022-05-23,1000000.00
2022-05-24,1000000.00
2022-05-25,1000000.00
2022-05-26,1000000.00
2022-05-27,1000000.00
2022-05-30,1000000.00
2022-05-31,1000000.00
2022-06-01,1000000.00
2022-06-02,1000000.00
2022-06-03,1000000.00
2022-06-06,1000000.00
2022-06-07,1000000.00
2022-06-08,1000000.00
2022-06-09,1000000.00
2022-06-10,1000000.00
2022-06-14,1000000.00
2022-06-15,1000000.00
2022-06-16,999853.83
2022-06-17,994462.83
2022-06-20,1000452.83
2022-06-21,1000213.23
2022-06-22,1002609.23
2022-06-23,1005244.83
2022-06-24,1004945.33
2022-06-27,1010635.83
2022-06-28,1004166.63
2022-06-29,1000333.03
2022-06-30,993564.33
2022-07-01,989131.73
2022-07-04,995660.83
